Team,HomeAttack,HomeDefense,AwayAttack,AwayDefense
Cadiz,0.6243,1.1146,0.6502,1.064
Villarreal,1.2462,1.006,1.1296,0.8362
Celta,0.9911,1.1424,1.023,1.1041
Elche,0.7947,1.0851,0.7273,1.2282
Almeria,0.8969,1.3467,0.952,1.4421
Girona,1.0561,1.1896,1.0478,1.0323
Real Madrid,1.6045,0.7076,1.7178,0.6909
Sociedad,0.9976,0.9548,1.0656,0.8975
Granada,0.8207,1.2771,0.9056,1.3835
Betis,0.9976,1.0614,0.9932,0.9911
Leganes,0.7035,1.031,0.7059,1.02
Barcelona,1.7821,0.7161,1.8926,0.6812
Oviedo,0.3538,0.8824,0.8824,1.4545
Valladolid,0.5979,1.1889,0.6687,1.2381
Sevilla,1.0525,0.9335,1.0358,0.9685
Huesca,0.721,1.1842,0.8359,1.1783
Ath Bilbao,1.0073,0.7928,0.9079,0.8749
Mallorca,0.7816,0.9139,0.7248,1.1576
Malaga,0.8441,1.0372,0.6037,0.9848
Valencia,0.975,0.9378,0.9506,1.0299
Osasuna,0.8554,1.2176,0.8118,1.0336
Eibar,0.8735,0.9985,0.8824,1.1197
Getafe,0.7394,0.7979,0.7556,0.9242
Vallecano,0.8723,1.1518,0.7476,1.0662
Levante,0.9438,1.3,0.9228,1.2345
La Coruna,0.8676,1.3932,0.805,1.2662
Sp Gijon,0.9497,1.5325,0.6502,1.1959
Alaves,0.6999,0.9763,0.8249,1.123
Espanol,0.8146,1.1382,0.851,1.1072
Ath Madrid,1.2914,0.6181,1.2575,0.6102
Las Palmas,0.8019,1.1981,0.7523,1.2662
